humidity,pressure,temperature,timestamp,heart_rate
71.31,1017.34,32.46,2023-08-08 16:23:29,98
69.14,1017.32,32.47,2023-08-08 16:24:33,98
65.38,1017.31,32.32,2023-08-08 16:25:37,96
66.40,1017.26,32.41,2023-08-08 16:26:38,99
65.35,1017.32,32.46,2023-08-08 16:27:47,98
62.11,1017.31,32.38,2023-08-08 16:28:49,100
61.06,1017.30,32.46,2023-08-08 16:31:25,87
60.77,1017.26,32.76,2023-08-08 16:35:22,92
61.30,1017.31,32.73,2023-08-08 16:36:41,90
60.19,1017.26,32.67,2023-08-08 16:37:43,100
62.68,1017.28,32.65,2023-08-08 16:38:45,88
57.80,1016.98,32.26,2023-08-08 17:28:54,97
59.72,1016.99,32.12,2023-08-08 17:31:43,100
58.31,1017.00,32.15,2023-08-08 17:32:51,104
58.04,1017.00,32.13,2023-08-08 17:33:54,97
57.53,1016.99,31.98,2023-08-08 17:35:05,93
56.74,1016.98,31.92,2023-08-08 17:36:13,98
58.30,1016.99,32.05,2023-08-08 17:43:18,95
55.78,1016.90,31.99,2023-08-08 17:47:07,93
55.93,1016.97,31.85,2023-08-08 17:48:11,98
53.64,1016.64,30.40,2023-08-08 17:54:03,82
53.09,1016.64,30.11,2023-08-08 17:55:05,88
54.60,1016.11,29.76,2023-08-08 17:56:29,81
64.03,1016.18,29.92,2023-08-08 17:58:05,80
56.50,1016.17,30.20,2023-08-08 18:00:43,83
50.01,1012.53,33.78,2023-08-09 16:32:15,73
30.43,1012.45,32.52,2023-08-09 16:33:21,89
31.87,1012.38,30.60,2023-08-09 16:34:25,93
46.32,1012.46,32.82,2023-08-09 16:39:52,91
